CopyNo X Y Z Orientation_theta Orientation_phi
50147 -9023.6 -1918.06 18348.19 26.6926 -167.9998
50148 -10119.4 -2150.99 17733.84 30.2582 -167.9998
50149 -8427.63 -3752.26 18348.19 26.6926 -155.9998
50150 -9451.08 -4207.94 17733.84 30.2583 -155.9998
50151 -7463.32 -5422.47 18348.19 26.6926 -143.9997
50152 -8369.67 -6080.97 17733.84 30.2583 -143.9998
50153 -6172.84 -6855.68 18348.19 26.6926 -131.9998
50154 -6922.47 -7688.24 17733.84 30.2583 -131.9998
50155 -4612.57 -7989.28 18348.19 26.6926 -119.9998
50156 -5172.72 -8959.5 17733.84 30.2583 -119.9998
50157 -2678.14 -8889.69 18316.94 26.8792 -106.7656
50158 -3156.3 -9714.08 17805.96 29.8398 -108
50159 -964.262 -9174.67 18348.19 26.6926 -95.9998
50160 -1081.36 -10288.8 17733.84 30.2582 -95.9998
50161 964.3306 -9174.66 18348.19 26.6926 -83.9998
50162 1081.439 -10288.8 17733.84 30.2582 -83.9998
50163 2850.777 -8773.68 18348.19 26.6926 -71.9998
50164 3196.976 -9839.16 17733.84 30.2583 -71.9998
50165 4612.631 -7989.24 18348.19 26.6926 -59.9998
50166 5172.791 -8959.46 17733.84 30.2583 -59.9998
50167 6172.89 -6855.64 18348.19 26.6926 -47.9998
50168 6922.529 -7688.19 17733.84 30.2583 -47.9998
50169 7627.01 -5294.13 18316.94 26.8792 -34.7656
50170 8263.293 -6003.63 17805.96 29.8398 -36
50171 8427.655 -3752.2 18348.19 26.6926 -23.9998
50172 9451.113 -4207.86 17733.84 30.2583 -23.9998
50173 9023.616 -1917.99 18348.19 26.6926 -11.9998
50174 10119.45 -2150.92 17733.84 30.2583 -11.9998
50175 9225.201 0.0346 18348.19 26.6926 0.0002
50176 10345.51 0.0386 17733.84 30.2583 0.0002
50177 9023.601 1918.061 18348.19 26.6926 12.0002
50178 10119.43 2150.991 17733.84 30.2583 12.0002
50179 8427.627 3752.259 18348.19 26.6926 24.0002
50180 9451.082 4207.935 17733.84 30.2583 24.0002
50181 7391.896 5617.74 18316.94 26.8792 37.2343
50182 8263.293 6003.634 17805.96 29.8398 36
50183 6172.839 6855.684 18348.19 26.6926 48.0002
50184 6922.472 7688.241 17733.84 30.2583 48.0002
50185 4612.571 7989.276 18348.19 26.6926 60.0002
50186 5172.724 8959.498 17733.84 30.2583 60.0002
50187 2850.711 8773.699 18348.19 26.6926 72.0002
50188 3196.903 9839.181 17733.84 30.2583 72.0002
50189 964.2617 9174.668 18348.19 26.6926 84.0002
50190 1081.362 10288.84 17733.84 30.2583 84.0002
50191 -964.331 9174.661 18348.19 26.6926 96.0002
50192 -1081.44 10288.84 17733.84 30.2583 96.0002
50193 -3058.57 8766.088 18316.94 26.8792 109.2344
50194 -3156.3 9714.084 17805.96 29.8398 108
50195 -4612.63 7989.241 18348.19 26.6926 120.0002
50196 -5172.79 8959.459 17733.84 30.2583 120.0002
50197 -6172.89 6855.638 18348.19 26.6926 132.0002
50198 -6922.53 7688.19 17733.84 30.2583 132.0002
50199 -7463.37 5422.409 18348.19 26.6926 144.0002
50200 -8369.72 6080.909 17733.84 30.2583 144.0002
50201 -8427.65 3752.196 18348.19 26.6926 156.0002
50202 -9451.11 4207.864 17733.84 30.2583 156.0002
50203 -9023.62 1917.993 18348.19 26.6926 168.0002
50204 -10119.4 2150.916 17733.84 30.2582 168.0002
50205 -11561.1 200 16958.88 34.2868 179.0089
50206 -12643.5 0 16159.16 38.0409 -180
50207 -11304.5 -2402.9 16961.85 34.2688 -167.9997
50208 -12367.2 -2628.79 16159.16 38.0409 -167.9997
50209 -10557.9 -4700.74 16961.85 34.2689 -155.9997
50210 -11550.4 -5142.64 16159.16 38.0409 -155.9997
50211 -9349.86 -6793.13 16961.85 34.2689 -143.9998
50212 -10228.8 -7431.72 16159.16 38.0409 -143.9998
50213 -7733.17 -8588.63 16961.85 34.2689 -131.9998
50214 -8460.14 -9396.01 16159.16 38.041 -131.9998
50215 -5778.51 -10008.8 16961.85 34.269 -119.9997
50216 -6321.73 -10949.6 16159.16 38.0409 -119.9999
50217 -3762.79 -10933.5 16958.88 34.2869 -108.991
50218 -3907.07 -12024.7 16159.16 38.0409 -108
50219 -1208 -11493.8 16961.85 34.2689 -95.9998
50220 -1321.56 -12574.3 16159.16 38.041 -95.9998
50221 1208.091 -11493.8 16961.85 34.2689 -83.9998
50222 1321.659 -12574.3 16159.16 38.041 -83.9998
50223 3571.383 -10991.4 16961.85 34.2688 -71.9997
50224 3907.115 -12024.7 16159.16 38.041 -71.9998
50225 5778.588 -10008.7 16961.85 34.2689 -59.9997
50226 6321.812 -10949.6 16159.16 38.041 -59.9998
50227 7733.241 -8588.57 16961.85 34.2689 -47.9998
50228 8460.215 -9395.95 16159.16 38.041 -47.9998
50229 9235.585 -6957.26 16958.88 34.2868 -36.9911
50230 10228.84 -7431.68 16159.16 38.041 -36
50231 10557.95 -4700.65 16961.85 34.2689 -23.9998
50232 11550.47 -5142.54 16159.16 38.041 -23.9997
50233 11304.56 -2402.81 16961.85 34.2689 -11.9998
50234 12367.26 -2628.69 16159.16 38.041 -11.9998
50235 11557.1 0.0453 16961.85 34.2689 0.0002
50236 12643.54 0.0494 16159.16 38.041 0.0002
50237 11304.54 2402.9 16961.85 34.2689 12.0002
