#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
173 2784.496 2917.927 19010.86 11.9782 46.3404
174 2370.729 3263.029 19010.86 11.9782 54
175 1914.657 3549.902 19010.86 11.9782 61.6596
176 1356.935 3798.215 19010.86 11.9782 70.3404
177 838.5755 3945.188 19010.86 11.9782 78
178 305.2511 4021.758 19010.86 11.9782 85.6596
179 -305.251 4021.758 19010.86 11.9782 94.3404
180 -838.576 3945.188 19010.86 11.9782 102
181 -1356.94 3798.215 19010.86 11.9782 109.6596
182 -1914.66 3549.902 19010.86 11.9782 118.3405
183 -2370.73 3263.029 19010.86 11.9782 126
184 -2784.5 2917.927 19010.86 11.9782 133.6596
185 -3193 2464.235 19010.86 11.9782 142.3404
186 -3492.96 2016.663 19010.86 11.9782 150
187 -3730.59 1533.103 19010.86 11.9782 157.6596
188 -3919.25 952.4803 19010.86 11.9782 166.3404
189 -4011.23 421.5973 19010.86 11.9782 174
190 -4535.15 -404.3 18893.1 13.5496 -174.9057
191 -4455.5 -937.849 18893.1 13.5496 -168.1132
192 -4313.31 -1458.23 18893.1 13.5496 -161.3208
193 -4110.56 -1958.15 18893.1 13.5496 -154.5282
194 -3850.12 -2430.57 18893.1 13.5496 -147.7359
195 -3535.62 -2868.88 18893.1 13.5496 -140.9434
196 -3171.49 -3266.91 18893.1 13.5496 -134.1509
197 -2762.84 -3619.08 18893.1 13.5496 -127.3585
198 -2315.41 -3920.45 18893.1 13.5496 -120.566
199 -1835.48 -4166.78 18893.1 13.5496 -113.7736
200 -1329.77 -4354.63 18893.1 13.5496 -106.9811
201 -805.406 -4481.34 18893.1 13.5496 -100.1887
202 -269.731 -4545.14 18893.1 13.5496 -93.3962
203 269.7306 -4545.14 18893.1 13.5496 -86.6038
204 805.4056 -4481.34 18893.1 13.5496 -79.8113
205 1329.775 -4354.63 18893.1 13.5496 -73.0189
206 1835.476 -4166.78 18893.1 13.5496 -66.2264
207 2315.412 -3920.45 18893.1 13.5496 -59.434
208 2762.844 -3619.08 18893.1 13.5496 -52.6415
209 3171.493 -3266.91 18893.1 13.5496 -45.8491
210 3535.62 -2868.88 18893.1 13.5496 -39.0566
211 3850.115 -2430.57 18893.1 13.5496 -32.2641
212 4110.563 -1958.15 18893.1 13.5496 -25.4717
213 4313.308 -1458.23 18893.1 13.5496 -18.6792
