PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
68 HighQENNVT -2395.6521 546.7917 19278.0244 7.264 167.1429 330416640 0.239204 0.965053 11.3371 17768.1 1.11328
69 HighQENNVT -2981.9868 -133.9211 19203.3897 8.8354 -177.4286 329257472 0.213724 0.973883 9.81808 18318.4 1.11229
70 HighQENNVT -2910.1525 -664.2232 19203.3897 8.8354 -167.1429 329261568 0.257695 0.99088 9.10007 17597.0 1.09685
71 HighQENNVT -2744.7835 -1173.1766 19203.3897 8.8354 -156.8571 329265664 0.264572 0.996392 9.20807 14925.0 1.09949
72 HighQENNVT -2491.1949 -1644.4233 19203.3897 8.8354 -146.5714 329269760 0.23818 0.990764 10.3581 14193.7 1.1114
73 HighQENNVT -2157.5373 -2062.8167 19203.3897 8.8354 -136.2857 329273856 0.255081 0.982654 9.32007 7997.9 1.11203
74 HighQENNVT -1754.5346 -2414.9096 19203.3897 8.8354 -126.0 329277952 0.294835 0.980576 9.00308 15858.2 1.1112
75 HighQENNVT -1295.1397 -2689.3852 19203.3897 8.8354 -115.7143 329282048 0.248205 0.964861 9.43808 15056.1 1.10548
76 HighQENNVT -794.118 -2877.4219 19203.3897 8.8354 -105.4286 329286144 0.243611 0.969177 13.3171 14928.0 1.11731
77 HighQENNVT -267.5727 -2972.9758 19203.3897 8.8354 -95.1429 329290240 0.248538 0.960133 4.43008 17206.1 1.10776
78 HighQENNVT 267.5725 -2972.9758 19203.3897 8.8354 -84.8571 329294336 0.248912 0.979419 15.0831 12508.3 1.10097
79 HighQENNVT 794.1177 -2877.4219 19203.3897 8.8354 -74.5714 329298432 0.255507 0.969724 11.2871 9071.96 1.11654
80 HighQENNVT 1295.1395 -2689.3854 19203.3897 8.8354 -64.2857 329302528 0.273065 0.987976 12.3961 13361.3 1.12515
81 HighQENNVT 1754.5344 -2414.9097 19203.3897 8.8354 -54.0 329306624 0.266132 0.961082 10.3021 16367.0 1.11793
82 HighQENNVT 2157.537 -2062.817 19203.3897 8.8354 -43.7143 329310720 0.250323 0.961898 5.92709 19836.9 1.09962
83 HighQENNVT 2491.1948 -1644.4234 19203.3897 8.8354 -33.4286 329314816 0.250848 0.984058 10.7881 13270.2 1.11583
84 HighQENNVT 2744.7834 -1173.1769 19203.3897 8.8354 -23.1429 329318912 0.254965 0.956346 10.7081 14416.2 1.12156
85 HighQENNVT 2910.1525 -664.2233 19203.3897 8.8354 -12.8571 329323008 0.256269 1.00188 8.43607 17877.3 1.11328
86 HighQENNVT 2981.9868 -133.9211 19203.3897 8.8354 -2.5714 329327104 0.274735 0.996485 11.7991 17051.4 1.10587
87 HighQENNVT 2957.9776 400.6851 19203.3897 8.8354 7.7143 329331200 0.263763 0.964718 10.1161 15596.7 1.09479
88 HighQENNVT 2838.8966 922.4131 19203.3897 8.8354 18.0 329335296 0.273072 0.974867 6.45306 17846.1 1.10464
89 HighQENNVT 2628.5711 1414.4941 19203.3897 8.8354 28.2857 329339392 0.256124 0.957172 17.9921 16962.1 1.09997
90 HighQENNVT 2333.761 1861.1121 19203.3897 8.8354 38.5714 329343488 0.266043 0.975751 7.65207 13992.3 1.10769
91 HighQENNVT 1963.942 2247.9124 19203.3897 8.8354 48.8571 329347584 0.270437 0.986031 6.10709 16748.8 1.09556
92 HighQENNVT 1531.0004 2562.4629 19203.3897 8.8354 59.1429 329351680 0.27387 0.968853 8.20908 19474.9 1.10297
93 HighQENNVT 1048.8511 2794.6538 19203.3897 8.8354 69.4286 329355776 0.257726 0.971457 9.55908 13747.6 1.10812
94 HighQENNVT 532.9909 2937.0223 19203.3897 8.8354 79.7143 329359872 0.252578 0.974303 11.0441 13126.2 1.10639
95 HighQENNVT 0.0 2984.9925 19203.3897 8.8354 90.0 329363968 0.263984 0.986498 16.9941 11263.1 1.10304
96 HighQENNVT -532.9908 2937.0224 19203.3897 8.8354 100.2857 329368064 0.25576 0.957111 19.4311 15910.2 1.09422
97 HighQENNVT -1048.8511 2794.6541 19203.3897 8.8354 110.5714 329372160 0.284504 0.955269 8.40909 18353.9 1.09631
98 NNVT -1531.0004 2562.4632 19203.3897 8.8354 120.8571 329376256 0.233888 0.975257 11.4081 10890.5 1.10184
99 HighQENNVT -1963.942 2247.9128 19203.3897 8.8354 131.1429 329380352 0.272648 0.958061 12.3261 17907.6 1.1059
100 HighQENNVT -2333.7611 1861.1124 19203.3897 8.8354 141.4286 329384448 0.259354 0.969144 7.48007 12604.8 1.11254
101 HighQENNVT -2628.571 1414.4944 19203.3897 8.8354 151.7143 329388544 0.220955 0.978166 6.06909 15749.9 1.09933
102 HighQENNVT -2838.8966 922.4133 19203.3897 8.8354 162.0 329392640 0.249065 0.97072 15.0481 19402.4 1.0956
103 Hamamatsu -2957.9776 400.6852 19203.3897 8.8354 172.2857 329396480 0.232152 0.969423 -26.5999 6939.72 1.01861
104 Hamamatsu -3487.3174 -402.5937 19114.3112 10.4068 -173.4146 328208640 0.215845 0.970117 -28.6479 7632.56 1.01471
105 HighQENNVT -3384.9919 -930.2118 19114.3112 10.4068 -164.6342 328212992 0.244568 0.958778 15.1851 14887.6 1.09532
